name,note,category,coordinates,visited,lng_val,lat_val,caption
Cité florale,"Each of the houses within the neighbourhood has its own flower garden, the streets are paved with cobblestones and are named after flowers.",neighborhood,"48.82286884501406, 2.344956056105185",FALSE,2.344956056105185,48.82286884501406,"Cité florale | Each of the houses within the neighbourhood has its own flower garden, the streets are paved with cobblestones and are named after flowers."
<a href='https://www.cntraveler.com/restaurants/paris/kubri' target='_blank'>Kubri </a>,A Lebanese spot that's one of the most dynamic and creative restaurants to open in Paris,restaurant,"48.86318407474078, 2.367301211050896",FALSE,2.367301211050896,48.86318407474078,<a href='https://www.cntraveler.com/restaurants/paris/kubri' target='_blank'>Kubri </a> | A Lebanese spot that's one of the most dynamic and creative restaurants to open in Paris
<a href='https://wanderlog.com/place/details/6777634/biyo-d%C3%BCr%C3%BCm' target='_blank'>Biyo Dürüm</a>,"Kurdish fast-food spot in Paris, located near the Marche d'Aligre. The tiny canteen run by Serdar Kaya and his wife, Sedef, offers traditional Kurdish rolled durum sandwiches made with hand-rolled wafer-thin flatbreads and succulent skewers of veal, lamb, chicken, and minced kefte spit-roasted on charcoal.",restaurant,"48.85068501103095, 2.3799628150101095",FALSE,2.3799628150101095,48.85068501103095,"<a href='https://wanderlog.com/place/details/6777634/biyo-d%C3%BCr%C3%BCm' target='_blank'>Biyo Dürüm</a> | Kurdish fast-food spot in Paris, located near the Marche d'Aligre. The tiny canteen run by Serdar Kaya and his wife, Sedef, offers traditional Kurdish rolled durum sandwiches made with hand-rolled wafer-thin flatbreads and succulent skewers of veal, lamb, chicken, and minced kefte spit-roasted on charcoal."
<a href='https://lefooding.com/en/restaurants/kamo-4' target='_blank'>Kamo</a>,"Neo-Bistro, Asian",restaurant,"48.87445234060503, 2.3531088287148982",FALSE,2.3531088287148982,48.87445234060503,"<a href='https://lefooding.com/en/restaurants/kamo-4' target='_blank'>Kamo</a> | Neo-Bistro, Asian"
<a href='https://www.cntraveler.com/shops/paris/marche-des-enfants-rouges' target='_blank'>Marché des Enfants Rouges (covered)</a>,"Foodies will love exploring the multicultural tastes and aromas of the oldest food market in Paris, dating back to 1615.",market,"48.86267500317949, 2.362805891756684",FALSE,2.362805891756684,48.86267500317949,"<a href='https://www.cntraveler.com/shops/paris/marche-des-enfants-rouges' target='_blank'>Marché des Enfants Rouges (covered)</a> | Foodies will love exploring the multicultural tastes and aromas of the oldest food market in Paris, dating back to 1615."
<a href='https://www.lebongeorges.paris/' target='_blank'>Le Bon Georges</a>,"Classic Parisian bistro with a chalkboard menu of daily dishes with seasonal produce, plus a long wine list.",restaurant,"48.877816691549945, 2.33727991474594",FALSE,2.33727991474594,48.877816691549945,"<a href='https://www.lebongeorges.paris/' target='_blank'>Le Bon Georges</a> | Classic Parisian bistro with a chalkboard menu of daily dishes with seasonal produce, plus a long wine list."
<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a>,"Rooftop bar behind the windmill blades at Moulen Rouge

Visted May 25, 2026, sat behind the blades of the windmill. Big fun.",bar,"48.88471002715455, 2.332271841758535",TRUE,2.332271841758535,48.88471002715455,"<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a> | Rooftop bar behind the windmill blades at Moulen Rouge

Visted May 25, 2026, sat behind the blades of the windmill. Big fun."
<a href='https://cloparis.com/' target='_blank'>Chez Clo'</a>,Tapas and cocktails. ,restaurant,"48.8681124431618, 2.374422053374773",FALSE,2.374422053374773,48.8681124431618,<a href='https://cloparis.com/' target='_blank'>Chez Clo'</a> | Tapas and cocktails.
<a href='https://www.slakparis.fr/' target='_blank'>SLAK</a>,Inexpensive authentic Turkish street food.,restaurant,"48.88251729496517, 2.333381653754128",FALSE,2.333381653754128,48.88251729496517,<a href='https://www.slakparis.fr/' target='_blank'>SLAK</a> | Inexpensive authentic Turkish street food.
<a href='https://www.yelp.com/biz/muniyandi-vilas-paris' target='_blank'>Muniyandi Vilas</a>,Inexpensive Indian / Sri Lankan food.,restaurant,"48.883933419139645, 2.359043426413768",FALSE,2.359043426413768,48.883933419139645,<a href='https://www.yelp.com/biz/muniyandi-vilas-paris' target='_blank'>Muniyandi Vilas</a> | Inexpensive Indian / Sri Lankan food.
<a href='https://www.roriparis.com/' target='_blank'>Rori Pizza (and drinks)</a>,"Fine pizza and natural wine, cocktails",restaurant,"48.867932851462406, 2.3784385698558848",FALSE,2.3784385698558848,48.867932851462406,"<a href='https://www.roriparis.com/' target='_blank'>Rori Pizza (and drinks)</a> | Fine pizza and natural wine, cocktails"
<a href='https://www.momohouse-paris.fr/en/' target='_blank'>Momo House</a>,Nepali / Tibetan streetfood,restaurant,"48.86771124772541, 2.343983678007193",FALSE,2.343983678007193,48.86771124772541,<a href='https://www.momohouse-paris.fr/en/' target='_blank'>Momo House</a> | Nepali / Tibetan streetfood
<a href='https://www.oobatz.fr/' target='_blank'>Oobatz (best pizza)</a>,Fancy pizza. Reservations needed.,restaurant,"48.864757416431296, 2.3818626511012013",FALSE,2.3818626511012013,48.864757416431296,<a href='https://www.oobatz.fr/' target='_blank'>Oobatz (best pizza)</a> | Fancy pizza. Reservations needed.
<a href='https://fellows-restaurants.com/etablissement/fellows-saint-germain/' target='_blank'>Fellows Saint-Germain</a>,"handmade pasta, seasonal ingrediants, drinks",restaurant,"48.85237850868998, 2.3365516259462806",FALSE,2.3365516259462806,48.85237850868998,"<a href='https://fellows-restaurants.com/etablissement/fellows-saint-germain/' target='_blank'>Fellows Saint-Germain</a> | handmade pasta, seasonal ingrediants, drinks"
<a href='https://fellows-restaurants.com/etablissement/fellows-faubourg-st-denis/' target='_blank'>Fellows Saint-Denis</a>,"handmade pasta, seasonal ingrediants, drinks",restaurant,"48.87385988156478, 2.355262057746975",FALSE,2.355262057746975,48.87385988156478,"<a href='https://fellows-restaurants.com/etablissement/fellows-faubourg-st-denis/' target='_blank'>Fellows Saint-Denis</a> | handmade pasta, seasonal ingrediants, drinks"
<a href='https://www.parisunlocked.com/paris-neighbourhoods/canal-st-martin-and-republique/paris-canal-saint-martin-neighborhood-guide/' target='_blank'>Canal Saint-Martin</a>,"One of the Right Bank’s most vibrant areas. Scores of boutiques, restaurants and wine bars, and a bustling nightlife scene.",neighborhood,"48.86997882794327, 2.3673391434772904",FALSE,2.3673391434772904,48.86997882794327,"<a href='https://www.parisunlocked.com/paris-neighbourhoods/canal-st-martin-and-republique/paris-canal-saint-martin-neighborhood-guide/' target='_blank'>Canal Saint-Martin</a> | One of the Right Bank’s most vibrant areas. Scores of boutiques, restaurants and wine bars, and a bustling nightlife scene."
Puces D'Aligre (flea market),"Flea market/vintage (runs on weekdays, most others are weekend-only). Plenty of random art, books, china, maybe a cool ashtray? Plus, lots of good options for lunch afterward in the area. Mostly outdoors, so not for a rainy day.",market,"48.84893978148027, 2.378808817868072",FALSE,2.378808817868072,48.84893978148027,"Puces D'Aligre (flea market) | Flea market/vintage (runs on weekdays, most others are weekend-only). Plenty of random art, books, china, maybe a cool ashtray? Plus, lots of good options for lunch afterward in the area. Mostly outdoors, so not for a rainy day."
Musee du Parfum - Fragonard,Small Museum showcasing history of perfumery and olfactory science. Free version or paid tour. Not a must-do but said to be pretty interesting.,museum,"48.8716411945289, 2.330882908084299",FALSE,2.330882908084299,48.8716411945289,Musee du Parfum - Fragonard | Small Museum showcasing history of perfumery and olfactory science. Free version or paid tour. Not a must-do but said to be pretty interesting.
Marche Mouffetard,"Wednesdays (morning). Old-skool historic street/farmers market, very Parisian.",market,"48.84054368023993, 2.3502561755405686",FALSE,2.3502561755405686,48.84054368023993,"Marche Mouffetard | Wednesdays (morning). Old-skool historic street/farmers market, very Parisian."
Armagnac Casterede,"This one is just for Hambone, if we're in the area. ",Armagnac,"48.87557552982641, 2.314988438928556",FALSE,2.314988438928556,48.87557552982641,"Armagnac Casterede | This one is just for Hambone, if we're in the area."
Maison Ryst-Dupeyron,Possibly a better option (they also bottle their own).,Armagnac,"48.85493306265429, 2.3255801891860908",FALSE,2.3255801891860908,48.85493306265429,Maison Ryst-Dupeyron | Possibly a better option (they also bottle their own).
Mamiche (boulangerie),"Sandwhiches, bread",restaurant,"48.88025108038357, 2.343552628836084",FALSE,2.343552628836084,48.88025108038357,"Mamiche (boulangerie) | Sandwhiches, bread"
Jardins des Archives Nationales,"Quiet green space with shrub-lined gravel paths & seasonal flowers, overlooked by elegant buildings.",park,"48.86010411759876, 2.357299404095819",FALSE,2.357299404095819,48.86010411759876,"Jardins des Archives Nationales | Quiet green space with shrub-lined gravel paths & seasonal flowers, overlooked by elegant buildings."
Marché couvert des Enfants Rouges,"Classic outdoor marketplace with vendors selling produce, meat & seafood, plus wine, cheese & more.",market,"48.86462477434395, 2.3620981386226587",TRUE,2.3620981386226587,48.86462477434395,"Marché couvert des Enfants Rouges | Classic outdoor marketplace with vendors selling produce, meat & seafood, plus wine, cheese & more."
Les Domaines Qui Montent Paris Cardinet,"Great selection. Knowledgable helpful staff. Cured meats and cheeses—small but very fine selection. Visited May 18, 2026.",Wine store,"48.882116, 2.328847",TRUE,2.328847,48.882116,"Les Domaines Qui Montent Paris Cardinet | Great selection. Knowledgable helpful staff. Cured meats and cheeses—small but very fine selection. Visited May 18, 2026."
Cafe l'Entracte,"So small, small selection, neighborhood, great dark hole in the wall. Visited May 18, 2026.",Bar,"48.884068, 2.326317",TRUE,2.326317,48.884068,"Cafe l'Entracte | So small, small selection, neighborhood, great dark hole in the wall. Visited May 18, 2026."
<a href='https://www.rooster-restaurant.com/reservation/' target='_blank'>ROOSTER PAR FRÉDÉRIC DUCA</a>,"After training in prestigious houses (from Passedat to Darroze), Frédéric Duca has set up shop in the more working-class part of the 17th arrondissement. In a former street corner cafe, the Marseille-born chef signs dishes which pay numerous tributes to his Mediterranean and Provençal roots. The lunchtime menu is at delicious eater-friendly prices. More ambitious in the evenings.

Vistined Thursday, May 21, 2026. ",restaurant,"48.88687437146972, 2.3131238164807524",TRUE,2.3131238164807524,48.88687437146972,"<a href='https://www.rooster-restaurant.com/reservation/' target='_blank'>ROOSTER PAR FRÉDÉRIC DUCA</a> | After training in prestigious houses (from Passedat to Darroze), Frédéric Duca has set up shop in the more working-class part of the 17th arrondissement. In a former street corner cafe, the Marseille-born chef signs dishes which pay numerous tributes to his Mediterranean and Provençal roots. The lunchtime menu is at delicious eater-friendly prices. More ambitious in the evenings.

Vistined Thursday, May 21, 2026."
Le Wagon Bleu,"Corsican cuisine in a wood-paneled railway carriage which becomes a late-night club on the weekend.

Great meal with excellent dose of Clementine liquor at meal's end.",restaurant,"48.883029954751635, 2.320535551879477",TRUE,2.320535551879477,48.883029954751635,"Le Wagon Bleu | Corsican cuisine in a wood-paneled railway carriage which becomes a late-night club on the weekend.

Great meal with excellent dose of Clementine liquor at meal's end."
La Samaritaine,FANCY department store. ,store,"48.859038971904695, 2.342141408689555",TRUE,2.342141408689555,48.859038971904695,La Samaritaine | FANCY department store.
Big Love,"BigLove is a Neapolitan trattoria created by the cheerful Big Mamma team. Through the big glass door on rue Debeylleme, customers are warmly welcomed into an authentic, intimate setting with the feel of a large Italian grocery shop and cosy cafés. BigLove also offers gourmet brunches and traditional Neapolitan dishes, all 100% vegaterian!

Visted May 19, 2026",restaurant,"48.86246746812821, 2.3636752266517496",TRUE,2.3636752266517496,48.86246746812821,"Big Love | BigLove is a Neapolitan trattoria created by the cheerful Big Mamma team. Through the big glass door on rue Debeylleme, customers are warmly welcomed into an authentic, intimate setting with the feel of a large Italian grocery shop and cosy cafés. BigLove also offers gourmet brunches and traditional Neapolitan dishes, all 100% vegaterian!

Visted May 19, 2026"
Habib Beirut,"Lebanese restaurant

Visited May 17, 2026. Excellent wine, inexpensive, great flavors.",restaurant,"48.880146211484224, 2.321841803042917",TRUE,2.321841803042917,48.880146211484224,"Habib Beirut | Lebanese restaurant

Visited May 17, 2026. Excellent wine, inexpensive, great flavors."
<a href='https://pharmacie-citypharma.fr/en/' target='_blank'>Citypharma</a>,"Crazy-busy discount drugstore, with floors of toilettries.",store,"48.85290456181854, 2.3333528975762388",TRUE,2.3333528975762388,48.85290456181854,"<a href='https://pharmacie-citypharma.fr/en/' target='_blank'>Citypharma</a> | Crazy-busy discount drugstore, with floors of toilettries."
VETRA - Vêtement de travail depuis 1927 - Paris,"Fancy French ""workwear"" https://www.vetra.fr/fr/vestes-de-travail-homme/2556-veste-workwear-moleskine-authentique-made-in-france.html",store,"48.8616663, 2.3647518",TRUE,2.3647518,48.8616663,"VETRA - Vêtement de travail depuis 1927 - Paris | Fancy French ""workwear"" https://www.vetra.fr/fr/vestes-de-travail-homme/2556-veste-workwear-moleskine-authentique-made-in-france.html"
